symbol	cluster	TNFAIP1	TNFAIP2	TNFAIP3	TNFAIP6	TNFAIP8	TNFAIP8L1	TNFAIP8L2	TNFAIP8L3	TNFRSF10A	TNFRSF10B	TNFRSF11B	TNFRSF12A	TNFRSF13B	TNFRSF13C	TNFRSF14	TNFRSF17	TNFRSF18	TNFRSF19	TNFRSF21	TNFRSF25	TNFRSF4	TNFRSF6B	TNFRSF8	TNFRSF9	TNFSF10	TNFSF11	TNFSF12	TNFSF13	TNFSF13B	TNFSF14
C68	cluster2	200.3	4541	906	465	1998.51	243.21	3106	36.47	93.99	381.63	0	87	483	171.41	3374	559	25	1	0	91	10	5	301	44.21	7970.58	2	846.62	2514.26	1778.86	1069.17
C71	cluster2	361.16	9066	2519	3825	3807.23	147.83	2320	4.13	145.98	401.52	0	115	118	128	1232	387	3	10	10.36	58	3	0	78	77.86	11822.26	6	218.76	1048.4	3972.4	2059.97
C75	cluster2	359.68	15229	3008	5782	3076.95	196.57	2404	38.76	174.66	1958.57	0	101	41	95.96	788	107	5	2	17.98	36	1	0	208	115.62	32647.88	2	477.17	2213.26	13679.83	3424.16
C76	cluster2	389.29	2325	2675	2649	3885.41	101.95	2388	157.34	374.18	658.37	0	114	8.17	45.72	684	67	2	0	19	18	1	2	103	19.03	11096.32	0	195.57	1682.73	6228.35	1510.88
C77	cluster2	267.59	17018.97	3735	6343	2323.95	155.67	2442	12.23	99.69	1108.74	0	166	1	18.17	1431	0	5	0	5	41	4	2	140	127.01	22674.52	1	526.09	1509.82	7038.79	3557.92
C78	cluster2	368.07	13133	3488	3141	2759.28	220.16	2559	73.74	271.3	2393.82	0	28	45	107.58	1005	116	1	3	6.54	45	0	1	336	279.32	16718.53	9	650.54	3883.35	6246.47	2176.53
C8	cluster2	369.53	9921.01	2372	3337	3540.25	145.66	1529	34.06	235.84	985.76	0	119	31	60.38	770	83	2	5	6	14	0	1	134	197.9	8447.89	1	495.87	2147.19	3975.79	2313.55
C80	cluster2	254.56	19607.02	2180	8926	2361.27	206.48	3138	35.45	138.53	757.82	0	98	41	75.37	2553	44	5	3	5	98	5	0	244	122.66	38199.98	9.99	489.67	1855.25	13006.64	2544.55
C85	cluster2	202.58	16574.71	642	735	2313.48	293.99	3350	6.73	80.03	918.52	0	161	32	129.72	2792	86	57	3	6	117	16	2	347	142.17	11092.41	4	788.15	1802.75	2348.39	1421.14
C89	cluster2	284.35	27291	3725	2150	1965.94	194.99	1264	10.91	133.33	2163.36	0	72	57	213.1	1244	14	1	4	8.06	68	2	0	199	591.54	9187.81	2	331.86	1464.9	3466.5	1643.58
C92	cluster2	312.09	21092.99	2628	2535	3096.21	182.86	2992	11.04	205.2	1916.67	0	118	91	211.62	2135	133	7	19	2	110	3	2	345	273.49	13486.07	2	724.09	2155.95	4009.51	3834.55
C96	cluster2	77.08	10368.08	313	211	2282.99	575.71	3313	9.32	54.05	802.9	0	93	189	321.36	5030	143	49	1	4	289	47	13	358	163.69	7052.3	2	976.35	1310.85	3044.76	587.38
C97	cluster2	206	7902	3310	1906	1784.96	194.2	2588	17.7	49.55	345.23	0	125	277	155.29	2411	880	18	1	4	95	9	5	115	48.33	19421.96	0	400.87	1059.59	5621.63	2757.59
C99	cluster2	205.74	9891	1242	2816	1589.35	301.6	5775	13.24	64.86	450.18	0	235	124	89.65	2725	325	15	2	3	104	7	1	439	124.64	19894.07	2	667.21	1675.74	5117.07	2579.38
