symbol	cluster	IL10	IL10RA	IL10RB	IL11	IL11RA	IL12A	IL12B	IL12RB1	IL12RB2	IL13	IL13RA1	IL13RA2	IL15	IL15RA	IL16	IL17A	IL17B	IL17C	IL17D	IL17F	IL17RA	IL17RB	IL17RC	IL17RD	IL17RE	IL17REL	IL18	IL18BP	IL18R1	IL18RAP	IL19	IL1A	IL1B	IL1F10	IL1R1	IL1R2	IL1RAP	IL1RAPL1	IL1RAPL2	IL1RL1	IL1RL2	IL1RN	IL2	IL20	IL20RA	IL20RB	IL21	IL21R	IL22	IL22RA1	IL22RA2	IL23A	IL23R	IL24	IL25	IL26	IL27	IL27RA	IL2RA	IL2RB	IL2RG	IL3	IL31	IL31RA	IL32	IL33	IL34	IL36A	IL36B	IL36G	IL36RN	IL37	IL3RA	IL4	IL4I1	IL4R	IL5	IL5RA	IL6	IL6R	IL6ST	IL7	IL7R	IL9	IL9R
C25	cluster1	22.66	7252	5251.01	2.93	411	18	1.08	716.15	95.08	0	3812.03	0	170.21	290	12927.69	0	0	1	0	0	12722.13	67	75	14.77	14	2.26	499.01	278	592	2173	3	1	1944	0	874.64	2333	909.11	0	0	76	1	3599	2	0	3	8	1	413	0	0	3	80	7.85	33.82	0	1	15	2122.03	349.04	2269	12582	0	0	7.02	6204	0	8	0	0	0	0	0	207	5	20.07	8733	0	498	3	13907.08	2101	21	9690	0	93
C30	cluster1	57.21	4498	3218.47	8.63	204	29	0	311.58	46.31	0	10070.86	0	147.37	79.01	7296.51	0	0	1	5	0	14114.03	11	28	23.19	5	3.9	664.85	119	8581	25279	0	0	595	0	2305.65	33441	4144.86	0	0	180	5	2183	2	0	0	28	3	137	1	0	0	19	2.07	41.13	0	2	4	900.06	100.68	1074	6937	0	0	8	1516	1	0	0	0	0	0	1	140	0	1	10983.22	0	33	4	9337.37	2850	25	4583	0	0
C33	cluster1	26.47	5166	5170.28	5.16	257	29	0	1055.18	89.33	0	4723.98	0	252.14	395	9318.95	0	1	0	8	1	13096.46	19	51	25.36	6	6.02	302	154	842	2264	1	0	1796	0	530.48	3131	450.33	0	0	23	0	4656	0	0	0	22	2	195	0	2	0	39	0	28.36	0	0	25	1666.81	136	1824	13330	0	0	11.11	2892	3	4	0	0	0	0	0	130	0	20.2	5359	0	24	7	9055.14	2092	29	4489	0	24
C34	cluster1	38.18	5198	3551.34	3.9	180	7	1	601.85	41.22	0	7533.73	0	210.68	133	10467.04	0	0	0	2	0	10880.17	16	21	16.6	7	5.69	200.87	157.03	431	864	0	0	4403	0	1166.24	3037	2763.01	0	0	104	7	3252	0	0	0	24	7	190.44	0	0	0	35	5.15	28.12	0	0	9	1022	182.78	761	8189	0	0	24.63	3067	0	3	0	0	0	0	0	283	5	5	4010.93	0	847	0	12960.1	1833	14	5246	1	33
C35	cluster1	44.36	6353	7563.2	10.54	252	60	0	1351.44	75	0	14135.01	0	455.66	353.01	15246.43	0	0	0	1	0	28560.49	36	28	34.87	4	8.04	379	152.05	5445	22887	2	0	5118	0	2190.95	27714	3719.99	0	0	252	7	9468	1	0	0	29	10	251.94	1	0	2	28	2.95	21.55	0	3	22	1616	334.01	1423	18108	0	0	6	4424	0	5	0	0	0	0	0	227	3	5	12766	0	754	11	20002.29	3756	32	6501	0	17
C4	cluster1	40.52	8285	3812.99	1.06	319	9	2	933.82	91.13	0	5079.64	0	289.62	187	10597.16	0	0	0	1	0	9117.47	38	49	18.43	14	7.84	250.83	302	568	2864	2.06	2	3685	0	649	2118	2150.55	0	0	122	3	2308	2	0	1	27	14	541.19	0	0	0	71	11.82	51	0	0	3	1602.01	225.58	2210	9935	0	0	5	6036	1	3	0	0	0	0	0	190	7	9	4693	0	681	0	9486.99	2134	40	9177	0	50
C51	cluster1	62.76	9815	5920.34	9.55	194	7	4	747.86	62.26	0	10958.4	2	410.74	218.01	13857.99	0	0	0	3	0	18081.77	27	85	24.43	10	10.09	687.98	342.02	1654	10931	2.04	0	3502	0	1124.39	6109	1736.89	0	0	43	10	5479	0	0	0	21	1	328.53	0	2	1	35	2.01	23.99	0	0	14	1837	57	1703	14852	0	0	5.05	5497	0	3	0	0	0	0	1	176	1	22	6783.71	0	311	0	13521.47	1531	37	3292	0	34
C53	cluster1	36.71	4233	4614.63	2.81	125	17	1	439.34	120.45	0	7903	0	185.93	169	7624.26	0	0	0	2	0	11239.13	25	9	14.97	6	14.81	182.01	183	2326	4366	0	1	3879	0	654.98	1540	2010.73	0	0	25	2	6981	0	0	0	20	3	261.48	0	0	0	34	6.09	41.21	0	2	15	785	108.54	1102	15160	0	0	6	3131	0	1	0	0	0	0	0	86	4	5	7141	0	145	8	7577.94	2661	29	7483	0	18
C57	cluster1	19.17	10614	3886.37	1.03	610	25	2	1277.85	268.43	0	4622.96	0	221.8	194	12946.39	0	0	1	1	0	11042.99	18	58	26.77	41	4.35	304	276	698	2414	2	0	1032	0	413.11	1386	719.82	0	0	80	1	3936	3	0	1	23	1	594.67	0	1	0	89	12.14	126.96	2	0	14	2367	242	6230	13872	0	0	10.01	9171	1	4	1	0	0	0	0	80	8	21	5372	0	460	3	9184.58	3128	28	23742	0	47
C59	cluster1	54.6	8561	3763.97	1.88	441	10	4	617.67	51.92	0	7329.42	0	209.29	208	12823.68	2	0	0	4	0	13286.52	22	49	18.41	20	0	173.21	313	714	4316	3.06	2	8790	0	850.27	1870	2426.52	0	0	54	1	8065	3	0	0	24	2	393.95	1	0	0	116	2.3	71.5	0	0	6	1636	300	2118	12455	0	0	7	3470	0	0	1	0	0	0	0	295	6	9.07	8324	0	230	4	13360.29	2677	40	16716	0	78
C6	cluster1	31.27	6548	3260.07	3.96	336	16	1.09	908.52	102.54	0	5590.41	0	201.5	208	9699.13	0	0	0	1	0	9699.74	20	28	19.64	10	4.12	187	253.03	617	3467	2	3	2450	0	593.03	2887	1445.2	0	0	54	0	3190	0	0	1	18	15	439.65	0	1	0	98	2	43.51	0	4	12	1424.54	247.7	1589	11430	0	0	5.02	5313	0	4	0	0	0	0	0	198	12	8	6094.03	0	348.06	1	10588.14	1677	15	8301	0	52
C60	cluster1	13.9	8518	3117.93	4.23	690	24	3	1194.58	151.7	1	3728.98	0	266.87	212	8832.69	0	0	0	4	0	7625.23	20	62	12.6	23	3.47	319	381	423	2783	0	0	2863	0	220.01	1473	589.7	0	0	19	1	2411	2	0	0	14	4	631	0	0	1	62	1.68	86.46	0	1	7	1984	251	3169	14305	0	0	11	19062	1	8	6	0	0	0	0	206	7	12.08	5111	0	243	3	6197.19	1784	42	15361	0	31
C61	cluster1	68.52	6134	4907.61	1.68	207	22	3	916.21	214.77	0	6651	0	455.87	334	9485.15	0	0	1	4	0	13491.61	27	39	19.35	3	3.03	271.02	226	1708	7054	7.11	0	2490	0	373.67	1949	938.32	0	0	185	0	4065	0	0	2	30	21	380.97	0	0	0	65	3.81	36.38	0	2	17	1317	283	2786	15935	0	0	14	7908	0	4	0	0	1	0	0	236	8	5	4950.99	0	953	13	11607.44	3296	36	10970	0	13
C62	cluster1	74.26	4613	4395.92	11.28	470	7	0	1040.29	118.51	0	6367.02	0	353.89	315	6613.36	0	0	1	2	0	12654.24	38	75	25.67	8	5.21	568.95	170	8633	25122	0	3	1857	0	1210.71	32381	408.85	0	0	127	2	6696	0	0	2	21	12	196	0	0	1	67	1.99	71.98	0	0	48	1315.71	277	1053	12888	0	0	11	3765	0	0	0	0	0	0	0	66	0	9	7893	0	21	6	7353.91	3539	14	12907	0	7
C63	cluster1	137.52	3490	5807.69	2.12	167	25	1	605.47	80.83	0	7794	0	578.21	242	9462.84	0	0	0	0	0	13790.54	21	9	22.11	2	3.81	229	89	4984	13131	1.01	1	3012	0	1029.12	4721	1072.26	0	0	91	0	8390	1	0	1	7	3	248.13	0	0	0	37	3	72.21	0	0	18	1138	260	698	14058	0	0	11	1797	0	0	0	0	0	0	0	133	8	12.09	12001	0	24	3	11478.3	3427	20	8262	0	14
C65	cluster1	102.86	6398	7354.77	6.6	202	17	0	850.99	62.36	0	9481.87	0	478.89	466	11502.95	0	1	1	3	1	19658.94	18	65	35.31	5	7.03	277.01	154	5668	13800	0	3	4447	0	1330.91	6725	1208.28	0	0	102	1	10031	0	0	1	21	1	224.99	0	0	0	31	3.57	19.47	2	1	33	1413.24	114	1443	16868	0	0	15.32	3130	0	1	0	0	0	0	0	146	5	16	11611	0	222	5	12284.85	2577	22	5412	0	16
C66	cluster1	69.89	5676	4224.41	8.07	485	6	1	1255.3	79.14	0	3125.65	0	416.8	402	6683.43	0	0	3	1	0	9891.5	7	102	41.93	24	3.05	326	293.06	460	2793	5.18	0	1439	0	111.21	1964	217.65	0	0	15	1	9219	0	0	2	25	1	463.94	0	0	1	34	4.35	73.01	0	0	64	1868.02	114.88	1291	16503	0	0	6	5531	0	0	0	0	0	0	0	517	3	92	3460	0	22.01	12	3940.44	1022	4	3925	0	0
C67	cluster1	45.67	2316	3811.53	6.52	237	61	0	1294.05	59.7	0	3723	0	238.57	277	7608.73	0	0	2	3	0	10258.73	6	20	15.8	6	2.32	411	55	4157	15087	2	0	756	0	754.01	47694	178.16	0	0	102.01	2	2820	0	0	0	35	4	179.83	0	0	0	32	2.99	28.92	0	4	14	886.09	33.09	604	14458	0	0	0	2565	0	3	0	0	0	0	0	96	2	4	9049	0	55	23	6357.85	804	1	2058	0	7
C69	cluster1	20.74	7085	3200.69	3.53	244	38	1	934.69	165.25	1	4851.77	0	279.91	298	7564.38	0	1	1	4	0	11279.38	23	66	14.79	7	5.12	242.11	250	1045	4655	0	1	2201	0	343	985	827.5	0	0	161	0	2638	6	0	0	31	1	321.6	0	0	0	50	13.07	40.39	0	0	20	1628	177	2421	12338	0	0	14	4022	0	4.98	1	0	0	0	0	125	5	16.11	4132	0	542	5	9554.5	3015	29	11870	1	14
C7	cluster1	33.95	6833	3613.39	6.79	385	33	0	1042.73	152.09	1	3222.92	0	287.43	211	12503.18	0	0	1	4	1	9756.78	27	38	22.42	28	9.04	201.83	327	815	2811	4	1	1996	0	460	1208	671.92	0	0	123	3	3294	0	0	1	21	0	542.08	0	0	2	116	12.02	47.36	1	10	8	2041	438.37	3646	15479	0	0	9	6826	0	6	2	0	0	0	0	68	1	12	6234	0	761	12	9487.3	3628.01	27	19268	0	38
C70	cluster1	338.62	8355	5121.51	4.83	212	22	1.13	1327.75	200.08	0	5895	0	791.39	624.84	8576.14	0	0	1	4	0	11477.15	89	63	44.11	11	6.41	410.05	267.02	1289	4793	4	0	3235	0	558.5	2098	498.08	0	0	33	1	9313	0	0	0	21	4	267.63	0	11	0	13	9.19	15.18	0	2	58	1666.84	333.21	1473	15557	0	0	58.61	5575	0	0	0	0	0	0	0	199	7	38	5448	0	108.03	5	9908.72	2830	46	6873	0	31
C72	cluster1	32.05	9634	3976.42	2.34	731	13	1	2090.54	65.09	3	2463.2	0	446.23	374.01	7029.11	0	0	5	2	0	7142.56	43	102	18.47	38	2.07	222	401	552	2809	1	1	1056	0	81	476	338.95	0	0	114	1	6111	2	0	3	29	7	787.53	0	2	0	88	2	76.66	0	3	63	2020	148.17	3228	18315	0	0	9	17468	0	49	1	0	0	0	0	327	30	86	5824	2	1480	2	3644.03	1051	20	6372	0	64
