	C1	C10	C100	C101	C11	C13	C16	C17	C18	C19	C25	C30	C33	C34	C35	C4	C51	C53	C57	C59	C6	C60	C61	C62	C63	C65	C66	C67	C69	C7	C70	C72	C73	C74	C79	C82	C83	C84	C86	C87	C9	C90	C91	C93	C94	C95	C98	C102	C103	C12	C14	C15	C2	C20	C21	C22	C23	C24	C26	C27	C28	C29	C3	C31	C32	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C5	C50	C52	C55	C56	C58	C64	C68	C71	C75	C76	C77	C78	C8	C80	C85	C89	C92	C96	C97	C99	NC1	NC10	NC11	NC12	NC13	NC14	NC15	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC3	NC4	NC5	NC6	NC7	NC8	NC9
aDC	0.0037362	0	0.035919251	3.27E-18	1.29E-18	0.00036952	0.004575003	0.000671555	0.036234216	0.004062131	0	0	0.010723848	0	0	4.01E-18	0.040930355	0.003494671	0	0	0.005385193	0.008024263	1.94E-18	0.008764936	3.67E-19	0.006803029	0.102709156	0.005716224	0.00472624	2.16E-18	0.045979529	0.022047417	0.024590422	5.67E-19	2.81E-18	0.005077142	0.029956026	0	0.009068893	0	0	1.74E-18	0	0.071420287	0.000962408	3.59E-20	2.08E-19	0.033482063	0.034463005	0.002404704	0	1.04E-18	6.09E-19	0.002534006	3.34E-19	0	9.39E-19	0.005331369	0.0057617	6.63E-19	0	0.009063879	0.044864473	0	0	0.000208845	0	0.002577027	0.048456154	0.003712399	0	0	0	0.003076162	0	0.005294476	0	0.009249207	0.06537037	0.001927029	0.01083015	0.024080746	0	0.02253518	0.045563596	8.49E-20	0.040712076	0.003539183	0.005428644	0.002230124	0.00868231	0.015948223	4.48E-19	0.018229578	1.88E-18	0.000982932	0.004502284	0	9.06E-19	0.013958027	0	0	0	0.012514289	0.010752429	0.014864026	0	0	0.003398837	0.012636943	0.049031423	0	0.003013558	6.01E-19	1.84E-19	0.09636462	0	0.022616611	0.054229507	7.06E-21	4.72E-19	0.075516528	0.076672958	7.27E-19	0.002741962	0
Adipocytes	1.16E-18	6.42E-20	0	6.85E-19	0	0	4.34E-19	6.61E-19	0	0	0	2.46E-19	5.06E-19	0	0	2.00E-19	1.06E-18	0	0	0	0	4.95E-21	0	2.75E-20	0	0	3.58E-19	4.35E-19	0	6.77E-19	0	0	5.54E-20	1.25E-19	0	0	0	0	0	1.02E-20	8.51E-19	1.35E-19	2.82E-18	1.14E-18	6.97E-19	0	2.26E-19	6.16E-20	0	6.45E-19	2.25E-19	0	1.34E-19	0	2.66E-20	0	5.80E-19	0	3.79E-19	0	1.47E-19	0	6.22E-20	7.00E-20	0	0	7.42E-19	5.23E-19	4.41E-20	0	7.73E-19	3.85E-20	0	4.28E-20	1.55E-19	1.50E-19	0	0	0	1.37E-19	3.26E-19	1.25E-19	9.37E-20	0	0	1.21E-19	0	7.23E-20	0	3.88E-19	1.88E-19	1.91E-19	0	3.92E-21	9.03E-19	0	0	3.40E-18	9.33E-19	0	1.43E-18	7.03E-19	1.93E-19	0	0	9.42E-19	7.37E-19	0	0	5.06E-19	0	1.39E-19	1.01E-19	0	4.20E-18	0	1.86E-19	0	2.11E-20	1.67E-19	0	0	0	7.14E-19	0	0
Astrocytes	0	0	5.31E-19	0	1.70E-17	1.91E-17	1.24E-17	0	0	0	0	0	8.53E-18	0	0	0	0	6.61E-18	0	0	0	0	1.63E-17	0	0	0	0	2.72E-18	8.39E-18	1.59E-17	0	0	7.50E-18	0	0	0	1.15E-18	0	0	0	1.46E-19	0	0	3.40E-18	3.28E-18	0	0	1.10E-18	3.03E-18	0	0	7.69E-18	0	1.40E-18	0	0	1.13E-18	4.46E-18	2.97E-18	3.75E-20	1.10E-18	2.45E-18	1.25E-18	7.69E-18	1.51E-19	0	0	0	2.55E-18	3.31E-18	1.04E-17	1.61E-18	7.70E-18	0	3.20E-19	0	0	6.82E-18	1.70E-17	0	0	0	0	2.45E-20	6.69E-18	7.04E-18	0	0	4.04E-18	8.80E-19	1.71E-18	0	0	2.43E-18	0	2.55E-18	2.16E-18	8.30E-18	1.67E-18	4.41E-18	2.41E-18	0	0	1.91E-18	0	3.28E-18	0	0	0	0	5.19E-18	0	0	0	0	0	0	1.25E-17	6.41E-18	7.29E-18	0	0	1.35E-19	1.42E-18	9.43E-18	1.60E-17
B-cells	0.005564548	0.035618926	0.052069931	0.270901757	0.19419404	0.111247635	0.071747644	0.078114912	0.130445171	0.160012058	0.067316892	0.151317695	0.093507445	0.112936133	0.091630648	0.211031978	0.039007248	0.139806703	0.171623708	0.209025849	0.088272326	0.023316838	0.14465431	0.053230551	0.266910307	0.085150644	0.205477539	0.134194172	0.111568705	0.162085894	0.066614099	0.129387928	0.115563238	0.158087808	0.189575805	0.040123332	0.024965035	0.003036994	0.137849549	0.143831817	0.114686934	0.117308909	0.126775908	0.174760328	0.101007699	0.117428847	0.020491829	0.089342759	0.017279473	0.083407071	0.108504532	0.057982388	0.07708828	0.062975888	0.025598466	0.009987954	0.032567643	0.050486582	0.144618153	0.052916171	0.053519256	0.026622623	0.027497965	0.092379235	0.010036642	0.037162338	0.056892611	0.060086094	0.032953247	0.025890553	0.050392354	0.15013051	0.005652659	0.132010729	0.070082873	0.102901485	0.093685526	0.047835479	0.057014633	0.113365313	0	3.42E-20	0.068069939	0.098826685	0.166573949	0.092727059	0.084442388	0.05387079	0.078415151	0.015877873	0	0.070529591	0.01410654	0.029374193	0.072695429	0.094605518	0.072184232	0.229653458	0.112538963	0.036060515	0.158291723	0.030676475	0.103933399	0.066370734	0.054475925	0.038699384	0.052539126	0.244479421	0.14385869	0.00389219	0.082736202	0.02185576	0.041304345	0.051767648	0.231796563	0.148547209	0.219431652	0.211689461	0.010895943	0.006397969	0.023376163	0.030001586	0.074897853	0.115313479	0.104985061	0.265524742
Basophils	0.010758741	0.047684472	0.048172772	0.007542712	0	0	0.015288956	0.020547164	0.043276637	2.33E-18	0.029540391	0	0.024755043	0.019149153	0.038316135	1.75E-18	0.04770146	0.030418266	3.85E-18	4.28E-18	0.018739242	0.019975281	4.42E-18	0.031442404	1.99E-18	0.015931261	0.01682078	8.06E-20	0	0	0	0	8.56E-19	0.011629166	1.52E-18	0.004403389	0.043081619	0.023898186	0	0.028321146	0.009596024	0.009868454	0	9.19E-19	2.40E-17	0.010503068	0.030719386	0.033511261	0.061096174	0.032772631	0.005881351	0	0.033116568	0.033014736	0.014022066	0	0.046548681	0.030967203	0.024849746	0.043446476	0.021738262	0	0.04131288	6.10E-23	0.099008331	0.051247312	0.0289949	0.02864292	0.022320487	0.019566196	0.006399387	0.034037331	0.048778196	0.00188836	0.054262537	0.015385179	0.042644137	0.059427556	0.090328568	0.003836023	0.035654408	0.04997331	0.022717685	0.096690812	0.077802852	0.029754722	0.079897967	0.013558671	0.023537125	0.006944066	0.026489219	4.79E-20	1.89E-18	0.035834757	1.67E-19	0.038481636	0.043647345	7.43E-19	0.022829539	0.008344483	0	0.037664352	8.99E-19	0.031799941	0.023154152	0.021827166	5.71E-18	0.023269226	0.007155364	0.028715932	3.41E-19	0.013755923	0.036526798	0.008665328	0.020057952	0	6.53E-18	0	5.96E-19	0.038447639	0.010739305	0.027941629	0.005264693	1.40E-17	0.025773465	0
CD4+ memory T-cells	0.004087777	1.39E-19	2.98E-18	0.024802448	0.115189873	0.019318072	0.009308493	0.006732349	3.27E-23	0.002145331	0.03651494	0.002579551	7.08E-19	0.013130625	0.004782932	0.0266941	1.86E-20	0.025086567	0.012191421	0.052328538	0.030722234	0.042820218	0.042992647	0.030015599	0.015669389	0	7.49E-19	2.94E-18	0.018842609	0.051985733	0.01236244	0	0.035619882	0.007000543	0.013339831	0.016933559	0	0.040642294	0.011577982	0.026597319	0	0	0.024658861	8.70E-23	0.012621117	2.42E-21	4.09E-19	1.01E-18	0	1.08E-19	0	2.51E-19	0.000541477	0	0	0	0	0	0	0	9.03E-20	1.97E-18	2.34E-18	0.001994322	0	0	0.004419206	0	0.001919107	0	0	0.006564891	1.34E-19	0.005557646	0.004342135	0.003116991	0.00503869	0	0	0.002903816	0	5.94E-19	0.000825596	0	5.40E-18	0	0	0.004554138	0	0.002740983	0	3.35E-20	0	3.33E-19	0	0	3.75E-19	6.00E-19	0	0	6.88E-19	0.0022078	0	0	9.11E-19	0	2.76E-19	7.58E-19	0.006500817	0	0	4.24E-19	3.87E-20	1.34E-18	0	0	3.65E-05	0	0	0	0	5.79E-20	0	0.01220196	1.35E-18	0.060748297
CD4+ naive T-cells	0.014171154	0	5.75E-19	0.036849724	0.044689513	0.002986296	0	0.012297736	1.14E-18	0	0.025847167	3.22E-20	0.003199938	0.008643179	0	0.024889595	0	0	0.056309819	0.039046982	0.015934545	0.05439289	0.02223681	0.038264483	0.005208855	1.29E-18	0.003321907	0	0.019708048	0.044922193	0	0.012656364	0.039735284	0.002541593	0.01268685	0.01731615	0	0	0.005978708	0.024458562	0	5.92E-19	0.039286426	0	0.060482008	0.006641027	0.014335926	0	0	0	0	0.006743513	4.16E-19	0	0	0	8.56E-19	0	2.24E-18	0	3.04E-18	2.25E-18	5.13E-18	0	0	4.66E-19	0	2.83E-18	6.86E-19	0	0	0	3.89E-18	1.46E-18	0	0.010766553	0	4.82E-18	9.25E-20	0	5.67E-20	6.62E-19	1.75E-18	1.84E-18	0	0	0	0	0	0	0	3.34E-19	7.66E-18	6.39E-19	2.08E-18	0	0	0.016003808	0	1.59E-19	0.041083571	0	0.004720234	0	0	9.96E-19	0.012546781	0	0.015418636	2.20E-18	0	1.48E-18	0	0	0.004406166	0.010179662	0.029916953	0.000266613	7.51E-19	0	0	6.79E-18	0	0.033783551	0.003651982	0.070458227
CD4+ T-cells	0.017185258	7.15E-18	0	0.052450768	0.109725109	0.027136416	0.002656656	0.016892204	0	0.007603295	0.042213215	0	0	0.023211384	0.003335635	0.032437179	0	0.023223892	0.042951997	0.075420143	0.037959012	0.066824009	0.044615157	0.056964494	0.017638676	1.90E-19	0	0	0.031891821	0.070207939	0.016514089	0.003081973	0.063479966	0.014617141	0.019515965	0.035118631	3.08E-20	0.054233789	0.010544572	0.036608385	0	0.003422903	0.045463552	0	0.060970859	0.015217072	0.003146634	0	1.74E-18	0	1.69E-18	0.004842545	0.000270505	0	0	1.47E-18	8.92E-21	4.64E-20	0.002992934	4.81E-18	0	6.33E-18	1.55E-18	2.36E-18	0.000122202	6.55E-18	0	0.000209376	0	2.03E-18	2.52E-18	1.38E-19	3.94E-18	0.001198358	0	0.021446004	0.011087687	2.70E-18	6.60E-18	4.21E-22	0	0	2.59E-19	0	5.54E-18	4.21E-18	1.00E-17	0.002439549	3.82E-18	0.006682641	6.43E-18	0	8.62E-18	2.83E-18	1.49E-18	0	2.69E-18	0.017886017	0	4.06E-18	0.027139606	0	0.003166806	8.08E-20	0	0	0.012191481	9.41E-18	0.022291703	0	3.32E-19	6.68E-20	5.77E-19	0	2.18E-18	0.008838225	0.025588264	1.57E-20	1.01E-17	5.02E-18	0	0	0	0.049375937	0.00086743	0.094892084
CD4+ Tcm	0.011144473	2.99E-18	0	0.047358528	0.064736018	0	1.61E-18	0	0	3.34E-18	0.030403558	0	1.23E-18	0.027946759	1.68E-20	0.022716775	1.06E-18	1.01E-18	0.005474464	0.073814729	0.011368306	0.038436361	0.012996359	0.051755299	0.009076167	0	2.73E-19	0	0.001142284	0.024099095	0	0	0.041235389	0.042557338	0.005811115	0.02899949	9.13E-18	0.019591252	0	0.021754204	0	0	0.014094925	7.77E-19	0.025854712	0.007928818	0	5.10E-19	0	6.64E-18	0	0.01247324	4.44E-21	1.50E-21	1.33E-18	0	1.92E-19	2.21E-18	0	4.11E-18	1.29E-18	5.76E-18	0	0	0	1.01E-18	0.000266636	0	4.65E-19	4.29E-19	5.27E-05	1.74E-19	4.41E-18	0	2.24E-19	0.010110331	0.0067727	0	0	0	1.13E-17	0	6.69E-19	0	1.05E-19	0	1.18E-17	8.45E-19	0	1.22E-18	3.60E-18	0	2.72E-18	0	4.11E-19	0.009515079	6.27E-19	0.007882527	0	0	0.031723958	2.94E-18	0	7.50E-19	7.58E-19	0	0	0	0.025645263	1.02E-18	0	9.51E-19	0.012055823	0	0.011119673	0.015984226	0.021041932	0.044613176	2.70E-18	1.90E-19	0	3.44E-18	0	0.039504845	0.032765543	0.077830564
CD4+ Tem	0.020942577	7.11E-19	0.002379592	0.018364042	0.059501025	1.65E-18	0	0.005958281	0	2.37E-18	0.020624517	0	0	0.00281548	8.13E-19	0.00803573	4.71E-19	5.55E-19	0.017550121	0.028592431	0.037274548	0.076729154	0	0.031005858	1.61E-19	0	3.81E-20	1.16E-18	0.01590296	0.060392913	0.006471043	0.032285609	0.014894184	0.005512192	0	0.045797636	2.36E-18	0.06839288	0.02209928	0.026450825	1.13E-18	0	0.077520471	5.03E-19	0.069525157	3.87E-20	0.023372523	0	0.008449223	6.62E-19	0	6.86E-18	0.004314799	0	0	0	0	1.01E-17	0	1.41E-18	0	4.29E-18	8.85E-19	0	4.01E-18	0	0.000762213	7.29E-18	0	0	1.94E-18	0	3.69E-18	0	0	0.037947198	1.14E-18	1.84E-17	0.020818667	3.77E-18	0	0.004033582	0	0	0.031983341	0	0	0	0	8.00E-19	2.64E-17	0	0	6.05E-18	0.031760009	0	0	0.04722267	0	0.011632001	0.058727574	0.00695209	0.032343451	5.18E-18	3.64E-21	5.78E-18	0.060395715	7.07E-18	0.003933132	0.010863638	3.03E-18	0.023651403	0.010217258	0.055318717	0.042106318	0.048206858	0.036375734	0.05198042	3.45E-18	1.51E-18	0.013872497	0.04579987	0.037594976	0.037578166	0.012003771	0.051560511
CD8+ naive T-cells	0	0	0.004623546	0.011094199	0.004730858	0.005716716	0	1.39E-20	3.75E-19	0	0.004187755	0	0	0.000594102	2.55E-19	0.00193424	0	2.36E-20	0.002153395	0.00963037	0.007278489	0.012745386	0	0	1.68E-18	0	0.007430696	1.07E-21	0	0.003495753	1.44E-21	0.006282364	4.28E-19	9.11E-20	0.003386104	9.45E-21	0	0.006347047	1.14E-20	5.66E-20	3.34E-19	0.008370949	0.025933616	0	0.024714546	2.98E-19	0.000227322	2.99E-19	1.23E-19	0	0	2.00E-18	0	0	0	0	0	1.02E-19	8.44E-21	3.39E-05	3.31E-19	0	1.06E-19	0	0.019267939	1.93E-19	3.98E-20	0.001381597	0.001442282	0	0	6.17E-22	0	8.78E-20	1.15E-19	0.007889398	0.001344397	1.98E-19	0.003187205	0	0.011117098	7.99E-19	4.14E-19	0	0.000696489	9.02E-20	2.37E-20	0	1.98E-19	0	3.17E-20	8.27E-19	0	0	0.012012863	0	0	0.016939517	1.12E-20	0.005677931	0.012634634	4.09E-19	0	1.11E-19	0.003147425	5.92E-19	0.009291157	0	0	0.003983865	1.24E-18	0.007692138	0.002872895	0.016249837	0.016694221	0.001223649	0.005039708	0.030022939	0.003369822	0	0.000707831	0.00465306	0.005852481	0.004062712	0.00545051	0.016514513
CD8+ T-cells	0.039876108	1.45E-18	0.073400428	0.124159708	0.201449608	0.166273276	0.142469911	0.146142489	0.072858364	0.071424788	0.101176406	0.06121607	0.035767917	0.088605835	0.034104635	0.137363986	0.028096141	0.141651073	0.26339731	0.162349306	0.189045297	0.245731271	0.089968589	0.044754134	0.030518297	0.07737159	0.099321696	0.05283888	0.105045269	0.199888208	0.111833207	0.193455845	0.060345357	0.01164366	0.171499174	0.087812554	0.103105752	0.070514547	0.083786452	0.11370822	0.026020345	0.151804543	0.276073057	0.025758639	0.339959627	0.074144117	0.072757164	0.086007194	0.009353289	0.040704496	3.72E-20	0.054360491	0.078855955	0.013353837	0.025158395	1.09E-18	0	0.003997026	0.056482397	0.090734792	7.11E-19	1.04E-18	0.054768593	0	0.015250457	0.021993049	0.070868545	0.013511987	0.003238911	0.004245237	0	0.031027755	2.48E-18	0.015025634	0.03581836	0.103438304	0.07077569	0	0.078167861	0.067143413	0	0	0.003404501	0.052539189	0.114441967	7.44E-18	0.043306684	0.015586491	0.037922374	3.75E-19	0.018673806	0.020776336	5.86E-19	6.38E-20	0.085735282	0.02692202	4.81E-20	0.165409903	0.022457444	0.056315033	0.139863233	0.002494124	0.089733151	0	0.07290761	8.56E-20	0.242793964	0	0.04021921	0.042571673	5.81E-19	0.072403557	0.112967129	0.171919983	0.147991803	0.091211252	0.172296103	0.214417011	4.28E-20	0	0.091544355	0.098716918	0.21415413	0.064698945	0.050607976	0.209393963
CD8+ Tcm	0.055668327	7.77E-21	0.051754446	0.093739681	0.200420373	0.134454442	0.127729773	0.135947759	0.072360321	0.070358368	0.076225851	0.055557227	0.0349243	0.082849789	0.05242035	0.09871964	0.027558352	0.134846738	0.204976675	0.146441296	0.178623011	0.170196207	0.091266304	0.055560711	0.035546604	0.072724058	0.077423097	0.085285882	0.098040429	0.167276554	0.098453132	0.170559372	0.061547413	0.005163957	0.137936352	0.082512907	0.093908389	0.07070643	0.074460339	0.104580478	0.031676917	0.149399768	0.225581919	0.039469607	0.259026199	0.076997615	0.062605007	0.099140346	0.027436348	0.056139679	0.000555708	0.036823111	0.074807448	0.024241902	0.031308857	0	0.00635607	0.012455488	0.059932429	0.078776252	0.000626133	0	0.07802698	0.008621368	0.02551696	0.025016924	0.066061871	0.018251929	0.013043063	0.020152267	1.78E-19	0.03401909	1.00E-18	0.025146074	0.053517302	0.075557289	0.060624521	8.17E-19	0.063386009	0.081627049	1.73E-19	0.006964712	0.015477332	0.053917803	0.1090054	0	0.033717398	0.027539505	0.050642529	0.003234056	0.037055437	0.017127453	6.69E-18	0.014147968	0.076307089	0.026186001	0.009963441	0.143743186	0.030337343	0.073104976	0.110223605	0.015258395	0.098089591	0.005340315	0.060529839	0	0.20238835	0.004858631	0.046850478	0.0288278	2.45E-18	0.076605002	0.095675574	0.133493338	0.118047592	0.092582968	0.135874338	0.174480444	5.68E-19	0	0.082416836	0.092197742	0.201348785	0.058833485	0.041387195	0.184885803
CD8+ Tem	0.025247383	0.006915987	0.038370671	0.019125053	0.067706988	0.044189713	0.067952124	0.071082748	0.048842846	0.028763012	0.028907878	0.01644937	0.01652147	0.026082564	0.007546409	0.053149501	0.021225509	0.051346857	0.085786361	0.015628604	0.052821193	0.098748447	0.037503319	0.002578843	5.43E-18	0.041311086	0.061589133	0.049888021	0.051800357	0.063386799	0.068086542	0.129263786	0.047618255	0	0.057069942	0.041799397	0.096638773	0.041253373	0.046450419	0.046551666	0.003520461	0.065766052	0.077050441	0.036968188	0.141597652	0.014629633	0.033413447	0.063063184	0	0.026100866	4.66E-18	1.89E-18	0.021172971	0.002075405	0.007486219	5.26E-19	1.60E-18	0	0.013890937	0.030200134	6.87E-18	0	0.026097687	3.16E-18	1.22E-18	0.010530096	0.031667844	4.61E-19	1.21E-18	0.004290031	1.31E-18	2.47E-19	2.40E-18	0	0.000417733	0.022031716	0.010106911	2.40E-17	0.059854763	0.014012064	1.05E-18	0.013387742	0	0	0.090219684	0	0.059722407	0	0.025410427	6.16E-20	1.14E-18	2.73E-19	2.62E-18	2.50E-18	0.039480141	4.20E-19	0	0.074673794	0.01731731	0.026290894	0.042397432	0	0.039993752	2.02E-21	0.017442165	1.95E-18	0.143300248	1.48E-18	0.016233587	0.022940206	0	0.029886323	0.054239318	0.078427759	0.072834968	0.033121144	0.061150751	0.075497103	0	0	0.036792711	0.088792923	0.130078501	3.54E-20	0.002227602	0.034199664
cDC	0.023865776	0	0.01404786	0.046772092	0.039851632	0.043785783	0.051061667	0.043448266	0.068836096	0.075344837	0.01604529	0.007386799	0	0.085829182	0.004818638	0.088599416	0.033445263	0.012820776	0.030606273	0.054419399	0.036733258	0.069297899	0.046984871	1.85E-18	3.00E-19	0.020456726	0.016507402	0	0.037088428	0.015009216	0.023889235	0.040463787	0.069952559	0.011943899	0.06573846	0.080598969	0.012607577	0.017452821	0.017475068	0.073957365	0.005110631	0.000772244	0.039184089	9.44E-19	0.002346488	0.008758232	0	0	0	0.007457682	0	0	0.020715057	0.010744794	0.001512631	0.005833976	0.007718666	0.0052557	0.003197892	0.003180783	0.003537707	1.98E-19	0.01168463	0	3.16E-18	0.004305778	0.034008399	6.37E-19	0	0	0	0.017098544	0	0.063441941	0.005391176	0.087315289	0.01876981	1.91E-19	0.034151986	0.013637666	0.000970057	0.008601782	6.00E-19	0	0.016189146	0.006288237	0.000318149	3.66E-18	0.013499687	3.29E-19	0	0.059516016	0.012306039	3.81E-18	0.059895638	0.060216843	0.017512172	0.063536619	0	1.16E-18	0.069949536	0.032868642	0.132572147	0.007244617	0.016764307	0.024329137	0.046995403	0.002482976	0.043841546	0.034046906	0.024630297	0.022783844	0.005572871	0.084037094	0.074162142	0.018067041	0.118765547	0.109886575	0	0.010138112	0.042908	0.02033472	0.072210673	0.0826736	0.024676191	0.043888607
Chondrocytes	2.79E-18	0	0	0	0	0	4.48E-18	2.70E-18	4.30E-18	2.98E-19	0	1.48E-18	1.56E-19	0	1.58E-19	1.06E-18	0	0	1.07E-18	2.43E-20	1.23E-18	0	1.49E-18	1.59E-18	3.27E-18	4.13E-18	1.61E-18	0	0	6.03E-18	9.45E-19	0	0	5.73E-18	0	5.66E-18	1.07E-17	5.12E-18	3.66E-19	3.00E-18	0	2.13E-19	0	1.70E-17	0	6.75E-18	1.52E-18	1.38E-18	0	4.71E-19	9.52E-19	0	1.22E-18	3.60E-18	8.41E-20	0	2.42E-18	2.12E-18	0	0	0	0	0	0	4.32E-19	4.39E-18	3.99E-18	2.08E-18	0	0	7.14E-18	0	7.95E-19	3.11E-18	0	3.08E-18	3.47E-19	0	7.58E-18	0	0	0	0	0	1.18E-17	0	0	7.75E-19	0	1.66E-18	2.84E-18	1.10E-17	0	2.25E-18	1.76E-18	0	0	0	1.32E-17	8.23E-18	0	4.10E-18	2.15E-18	0	4.62E-18	0	0	0	4.84E-18	2.27E-18	0	0	0	0	0	0	0	0	3.57E-18	2.96E-18	1.37E-18	3.71E-18	0	0	5.86E-18	0
Class-switched memory B-cells	0.000716393	0.032695068	0.016187914	0.059706752	0.091299987	0.075149037	0.055585125	0.053936206	0.07497235	0.093208158	0.038208601	0.087981481	0.049702603	0.066297663	0.109840767	0.077174366	0.043595706	0.069480268	0.102170741	0.089951059	0.058833334	0.012353244	0.079168628	0.012080636	0.072897764	0.049587004	0.040231036	0.072317285	0.077277445	0.085692732	0.032744581	0.039525922	0.040097267	0.115811215	0.053554363	0.022712663	0.019921897	0.010447669	0.065848665	0.053947392	0.085094573	0.105617484	0.041281668	0.088289486	0.047063622	0.068670021	0.023375955	0.047203118	0.012342572	0.064406037	0.083021449	0.054778624	0.064829193	0.083004321	0.044337611	0.040446836	0.033855755	0.066102042	0.080512796	0.058792598	0.063937681	0.046404201	0.013510932	0.079167881	0.055141876	0.051972928	0.060997451	0.07048652	0.069312197	0.063093824	0.075925915	0.078641346	0.018396642	0.081561142	0.037835482	0.044648974	0.06833012	0.040159754	0.02479911	0.060685713	0.014143039	9.76E-19	0.062893118	0.054627642	0.092387383	0.068063852	0.076924284	0.056307258	0.034495587	0.029303693	0	0.047624729	0.030243034	0.006502152	0.04529681	0.071169586	0.042261328	0.056610677	0.073560863	0.024006375	0.036274151	0.015978811	0.025381276	0.034129936	0.021502636	0.033792305	0.029659797	0.077138501	0.048485301	0.008670369	0.032902379	0.027381461	0.017890599	0.009497738	0.040890583	0.029674669	0.051973786	0.027190947	0.011322827	0.010994611	0.030881864	0.00415139	0.016819302	0.066540972	0.049647114	0.094972539
CLP	0.006220179	0.00784844	0.040334477	0.046514829	0.03161038	0.039897272	0.026830915	0.010210761	0.011806915	0.016687521	0.018163776	0.022457471	0.020533027	0.00840139	0.015303359	0.013969867	0.01923486	0.014881077	0.02415487	0.006264401	0.020305739	0.052512749	0.026510366	0.021975823	0.01023525	0.006169481	0.028846649	0.078438288	0.016299009	0.017579151	0.017302607	0.038005635	0.020074556	2.36E-19	0.018699916	0.008891241	0.016493829	0.020857515	0.039778978	0.031439138	0.014100413	0.030359115	0.017788302	0.051658321	0.036226048	0.004852062	0.018321791	0.003651367	0.011468746	0.004961124	0.002660644	1.13E-21	0.008830638	0.004431732	0.005047437	0.004201316	0.000982934	0.002829823	0.005665191	0.003798267	0.003923142	0.015861044	0.003950259	0.012162236	0.018671372	0.012025427	0.008212043	0.006715984	0.025221891	0.007329947	0.0079755	0.017117424	0.002963529	0.011819071	0.004627621	0.024364555	0.009439767	0.014337828	0.025289309	0.004105943	0.050800574	0.006409624	0.007343631	0.00107025	0.049206754	0.002779404	0.032318548	0.006231395	0.007602797	0.025193513	0.004511515	0.016062183	0	0.004463987	0.020232482	0.000521054	0.00341581	0.039369261	0.00927363	0.019502892	0.038123775	0.021927529	0.018936231	0.013443218	0.01627357	0.000563771	0.020341921	0.014999861	0.010618393	0.026855773	0.024507906	0.024271199	3.39E-20	0.04252895	0.040819272	0.024027016	0.023750722	0.021928697	0.026813543	0.024644516	0.006971584	0.030461223	0.049999171	0.018081564	0.007080779	0.025575411
CMP	0.010159604	0.099501209	0.03176004	0.029565514	5.01E-18	0	0.008523797	0.007109592	0.017932542	0.001470216	0.073103699	0.005138028	0.015258513	0.005472939	0.027015383	8.62E-20	0.044032289	0.012498434	1.97E-20	2.19E-19	0.017580813	0.007334541	9.57E-19	0.049445707	0.01050558	0.007438117	0	0	1.75E-19	0	0.002445055	0	0.001856232	0.063532717	2.37E-18	0	0.014350192	0.020474017	0	0.011322338	0.011394377	0.011487696	6.11E-19	0	0	0.003358387	0.087497498	0.027716263	0.034974821	0.030008451	0.01013066	0.020944797	0.037898435	0.031991558	0.006775702	0.075549433	0.041546168	0.022435972	0	0.047773785	0.011430263	0.014832566	0.01289466	0.029543277	0.036444439	0.041571214	0	0.002561176	0.059300569	0.022446513	0.012758209	0.042321794	0.070395423	0.011758624	0	0	0.001065078	0.10272894	0.054558866	0.002465003	0.116434215	0.010077289	0.034728249	1.07E-18	0.015422764	0.025433962	0.113334658	0.061887299	0.006038617	0.019977488	0.019768018	0.00207116	0.079332936	0.056168833	5.20E-20	0.016983574	0.081729526	5.60E-18	0.018173233	0	0	0.002422449	0	0.000568562	0.006020172	0.003839314	1.33E-18	0.047419946	0	0.014475975	0.015295125	0.019565395	9.77E-05	9.74E-18	0	0	5.06E-20	0	0.07538616	0.018316577	0.002712812	0	1.86E-18	0	0.01744423	1.20E-18
DC	6.29E-20	0	0	0.002380222	0.001446605	0.000845532	0.00087782	0.000294055	0.001988442	3.70E-21	0.002561193	0	0	0.005239686	0	0.003482836	0	0.000142936	0.000567716	0.00164062	0.000675924	0.001165243	0.001946768	0	2.51E-19	0	0	1.12E-19	0.002527748	0.001710941	0.000523285	0.005196388	0.001723017	5.05E-22	0.001831095	0.001660005	0	2.11E-05	1.60E-20	0	1.45E-20	3.23E-20	0.000644288	1.27E-18	4.27E-20	0	0	5.30E-19	0	2.77E-19	6.76E-20	3.41E-19	0.00024156	1.30E-19	0	9.20E-19	0	0	2.26E-19	1.24E-19	3.63E-19	0	0	1.66E-19	0	0	0.000476002	1.33E-19	0	0	1.12E-18	0	0	0	1.59E-19	0.001368925	6.49E-21	1.00E-18	0	0	2.45E-19	5.25E-20	0	6.40E-19	8.37E-20	0	2.64E-19	1.29E-19	0	0	0	0.000605505	8.78E-19	1.20E-19	0.005648274	0.00163976	0	0	0	2.07E-19	0.002351288	7.46E-20	0.005537382	2.82E-19	2.88E-19	4.71E-19	0	5.79E-18	1.75E-20	0	8.80E-19	6.30E-20	0	0.00263856	1.09E-19	1.16E-18	0.002329688	1.33E-20	1.34E-18	0	0	8.80E-21	0.001247816	0.000761446	0	0.00252188
