	cluster	GOBP_PROTEIN_POLYUBIQUITINATION	GOBP_PROTEIN_MONOUBIQUITINATION	GOBP_HISTONE_MONOUBIQUITINATION	GOBP_UBIQUITIN_RECYCLING	GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION	GOBP_HISTONE_UBIQUITINATION	GOBP_HISTONE_UBIQUITINATION	GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	GOBP_UBIQUITIN_DEPENDENT_SMAD_PROTEIN_CATABOLIC_PROCESS	GOBP_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_HISTONE_UBIQUITINATION	GOBP_HISTONE_H2A_UBIQUITINATION	GOBP_HISTONE_H2B_UBIQUITINATION	GOBP_HISTONE_H2A_MONOUBIQUITINATION	GOBP_PROTEIN_K29_LINKED_UBIQUITINATION	GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION	GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION	GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY	GOBP_PROTEIN_K27_LINKED_UBIQUITINATION	GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY	GOBP_PROTEIN_AUTOUBIQUITINATION	GOBP_UBIQUITIN_DEPENDENT_ENDOCYTOSIS	GOBP_PROTEIN_K63_LINKED_UBIQUITINATION	GOBP_HISTONE_H2A_K63_LINKED_UBIQUITINATION	GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION	GOBP_PROTEIN_K48_LINKED_UBIQUITINATION	GOBP_PROTEIN_K11_LINKED_UBIQUITINATION	GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION	GOBP_PROTEIN_K6_LINKED_UBIQUITINATION	GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION	GOBP_PROTEIN_LINEAR_POLYUBIQUITINATION	GOBP_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	GOBP_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	GOBP_POSITIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_HISTONE_H2B_UBIQUITINATION	GOCC_UBIQUITIN_LIGASE_COMPLEX	GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX	GOCC_UBIQUITIN_CONJUGATING_ENZYME_COMPLEX	GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	GOMF_UBIQUITIN_LIKE_MODIFIER_ACTIVATING_ENZYME_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_SPECIFIC_PROTEASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	GOMF_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	GOMF_UBIQUITIN_CONJUGATING_ENZYME_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING	GOMF_UBIQUITIN_UBIQUITIN_LIGASE_ACTIVITY	GOMF_UBIQUITIN_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING	GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_BINDING	GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY	GOMF_LYS63_SPECIFIC_DEUBIQUITINASE_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY	GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY	GOMF_K63_LINKED_POLYUBIQUITIN_MODIFICATION_DEPENDENT_PROTEIN_BINDING	GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVATOR_ACTIVITY	GOMF_LYS48_SPECIFIC_DEUBIQUITINASE_ACTIVITY	GOMF_UBIQUITIN_SPECIFIC_PROTEASE_BINDING	GOMF_UBIQUITIN_LIGASE_SUBSTRATE_ADAPTOR_ACTIVITY
C14	COVID_19	0.098024403	-0.146440061	-0.298198705	0.613003096	0.613003096	-0.480968777	-0.480968777	-0.117719442	0.808049536	-0.042715073	0.492204477	0.87654321	0.404478875	-0.938271605	-0.070581592	-0.938271605	-0.298198705	0.624223602	0.606811146	-0.172839506	-0.081449092	0.427244582	0.131848312	0.182744762	-0.12345679	0.249331872	0.617283951	-0.06218957	0.456790123	0.12482346	-0.095679993	-0.02830615	0.12482346	0.428571429	0.932098765	0.598765432	0.616099071	0.616099071	0.616099071	0.404195476	-0.12345679	0.510835913	0.492204477	-0.938271605	0.143301261	0.6625	-0.370443131	0.106583072	0.37037037	-0.051753052	-0.253743881	-0.229720503	-0.055555556	-0.697530864	-0.518335232	-0.306117093	-0.124267487	0.114584688	0.170672875	-0.428670561	0.177858412	0.315740243	0.217442856	0.230260757	0.466049592	0.148395657	0.395061728	-0.543209877	-0.045373447	0.22939698	-0.428670561	0.395061728	-0.543209877	0.598765432	-0.567901235
C15	COVID_19	-0.17741832	-0.697083397	-0.876160991	0.120743034	0.120743034	-0.819314642	-0.819314642	-0.375506843	0.628482972	-0.404984424	0.014818644	-0.814814815	0.342759073	-1	-0.798136646	-1	-0.876160991	-0.081004655	-0.089783282	-0.432098765	-0.849719931	-0.693148177	-0.247318394	-0.657272643	0.722222222	-0.191515299	0.111111111	-0.343537667	-0.783950617	-0.262088107	-0.366546984	-0.310510577	-0.262088107	-0.530151269	0.703703704	0.067901235	0.092879257	0.092879257	0.092879257	0.327732037	0.722222222	-0.061919505	0.014818644	-1	-0.277580382	0.396351085	-0.621895747	0.051844707	-0.62345679	-0.183135	-0.199192863	0.035196778	-0.259259259	-0.962962963	-0.126855191	-0.61682243	-0.527797685	-0.14153319	-0.101404309	-0.585139319	-0.66297043	-0.262532719	0.319077105	-0.441650411	0.095097017	-0.542181045	-0.296296296	-0.672839506	-0.329115437	0.12427777	-0.585139319	-0.296296296	-0.672839506	0.067901235	-0.827160494
C16	COVID_19	-0.069499551	-0.419110358	0.230713338	-0.59752322	-0.59752322	0.442695524	0.442695524	-0.327144493	0.266298523	0.563589163	-0.404782383	-0.395061728	-0.472118594	0.709876543	0.121118012	0.709876543	0.230713338	-0.391686574	0.700464396	0.259259259	-0.368421053	-0.636116486	0.043613707	0.043478261	-0.055555556	-0.488993124	-0.271604938	-0.046867452	0.283950617	-0.798483592	-0.103547183	-0.29527154	-0.798483592	-0.271019393	0.413580247	-0.814814815	-0.876160991	-0.876160991	-0.876160991	-0.217391304	-0.055555556	-0.256965944	-0.404782383	0.709876543	-0.002473883	0.1	0.035975539	0.628909739	-0.043209877	0.127546375	-0.219622976	-0.30600027	0.981481481	0.012345679	-0.894736842	0.825961747	0.364752159	0.374368292	-0.075695529	0.021671827	0.059312291	0.213084535	-0.077399381	0.004951824	-0.06266055	0.284389208	-0.135802469	-0.956790123	0.112153759	-0.337283382	0.021671827	-0.135802469	-0.956790123	-0.814814815	0.919753086
C17	COVID_19	-0.301148654	-0.247936165	-0.405572755	0.024767802	0.024767802	-0.560747664	-0.560747664	-0.43592339	-0.435440978	0.520249221	-0.155531206	-0.777777778	0.094043887	-0.185185185	-0.649068323	-0.185185185	-0.405572755	0.440662953	-0.40247678	-0.271604938	-0.677952548	0.445820433	0.196608189	-0.173356522	0.981481481	-0.422981611	-0.950617284	-0.159235669	-0.444444444	-0.722695542	-0.549631758	-0.569626876	-0.722695542	0.427150226	-0.00617284	0.462962963	-0.573191855	-0.573191855	-0.573191855	0.630980922	0.981481481	0.293985716	-0.155531206	-0.185185185	-0.201216714	-0.335391475	-0.416439794	0.422498817	-0.925925926	-0.056184864	-0.143810955	-0.074034008	0.469135802	-0.364197531	-0.335719814	0.052959502	-0.366760008	0.559124088	-0.303593298	0.103888237	-0.166001229	-0.02398548	-0.256756555	0.081426171	-0.329417514	-0.11937014	0.672839506	-0.882716049	-0.573415805	-0.262137652	0.103888237	0.672839506	-0.882716049	0.462962963	-0.592592593
C18	COVID_19	-0.03942929	-0.358681842	-0.513931889	-0.40247678	-0.40247678	-0.410245107	-0.410245107	0.222602438	-0.470588235	0.553466392	-0.681610514	-0.814814815	-0.679270392	0.166666667	-0.51552795	0.166666667	-0.513931889	-0.265838509	-0.081120146	-0.679012346	-0.011626733	-0.325937393	-0.043613707	-0.304347826	0.320987654	-0.279747197	-0.574074074	0.295852225	-0.75308642	-0.434782609	-0.272776207	-0.31751397	-0.434782609	-0.170807453	-0.327160494	-0.604938272	-0.795665635	-0.795665635	-0.795665635	-0.043478261	0.320987654	-0.303405573	-0.681610514	0.166666667	0.095281536	-0.053156657	-0.342604537	0.534161766	-0.450617284	0.154063822	-0.41188251	0.058792719	0.62345679	-0.271604938	-0.625386997	0.392030952	0.270819037	0.211040994	-0.141769497	-0.12311616	-0.237556098	-0.016282472	0.647058824	0.010741605	-0.277993901	0.123103233	-0.407407407	-0.598765432	-0.11389711	-0.210125669	-0.12311616	-0.407407407	-0.598765432	-0.604938272	0.37037037
C19	COVID_19	-0.121256715	-0.223546659	0.283968889	-0.681114551	-0.681114551	0.195603302	0.195603302	-0.466082482	0.897832817	0.154579593	-0.553940254	0.209876543	-0.602370514	0.228395062	0.214475602	0.228395062	0.283968889	0.443234379	0.659442724	0.314814815	-0.283565168	-0.504689943	-0.267465838	-0.650131971	0.709876543	-0.007127152	0.543209877	0.31020182	0.740740741	-0.308398596	-0.127463001	-0.088884392	-0.308398596	-0.334724772	0.969135802	-0.580246914	-0.73993808	-0.73993808	-0.73993808	-0.278107642	0.709876543	-0.699690402	-0.553940254	0.228395062	0.015483186	-0.357276831	-0.096437762	0.204043247	0.296296296	0.026351556	-0.098414047	-0.034782716	0.62345679	-0.524691358	-0.941489867	0.507642484	0.005956813	0.187054969	-0.039291846	-0.073896365	-0.552859043	0.210430103	0.31223435	0.19624633	-0.028493991	-0.124598823	-0.617283951	-0.765432099	-0.025527567	-0.144778274	-0.073896365	-0.617283951	-0.765432099	-0.580246914	0.265432099
C2	COVID_19	-0.383125986	-0.308968254	-0.504643963	0.268397237	0.268397237	-0.606690927	-0.606690927	-0.571580855	-0.551083591	0.07165109	-0.257666502	-0.87037037	-0.077415977	-0.148148148	-0.677018634	-0.148148148	-0.504643963	0.285406293	-0.360462207	0.351851852	-0.445921704	0.313388265	0.566934825	0.654567212	-0.308641975	-0.292418893	-0.839506173	0.003911144	-0.611111111	-0.250595756	-0.347833429	-0.294732858	-0.250595756	0.288930227	-0.302469136	-0.648148148	-0.780185759	-0.780185759	-0.780185759	0.748607287	-0.308641975	0.894736842	-0.257666502	-0.148148148	-0.380766002	0.266487765	-0.894988819	0.072100313	-0.950617284	-0.098408626	-0.791666667	-0.376190198	0.265432099	-0.395061728	0.077399381	-0.207693469	-0.326148469	0.186890129	-0.332716373	-0.245390992	-0.586710677	-0.271190568	-0.195321929	-0.343040305	-0.324470572	-0.515452692	0.907407407	-0.919753086	-0.417214645	-0.297673065	-0.245390992	0.907407407	-0.919753086	-0.648148148	-0.981481481
C20	COVID_19	0.113902764	0.043276262	-0.682107769	0.591331269	0.591331269	-0.678884346	-0.678884346	0.064043757	0.916408669	-0.623228821	0.618187826	0.759259259	0.577131815	-0.932098765	-0.601191938	-0.932098765	-0.682107769	0.817419196	0.537997808	-0.067901235	0.354229725	0.700547921	-0.412090545	-0.296225514	-0.685185185	0.23104866	0.709876543	0.174268738	0.197530864	0.341614907	0.050888355	0.278536574	0.341614907	0.534821085	0.925925926	0.783950617	0.606811146	0.606811146	0.606811146	-0.195990835	-0.685185185	0.07120743	0.618187826	-0.932098765	0.156885067	0.310580279	-0.223498311	-0.563337133	-0.574074074	-0.043435378	-0.00623053	0.321675832	-0.462962963	-0.87037037	-0.00619195	-0.371584699	-0.275199451	-0.096206761	0.12861671	-0.526122291	0.019450478	0.067565875	0.52013707	0.186438646	0.42352197	0.118509386	-0.25308642	0.413580247	0.055940396	0.278161379	-0.526122291	-0.25308642	0.413580247	0.783950617	0.049382716
C21	COVID_19	0.16908193	0.009688105	-0.091749824	-0.651873207	-0.651873207	-0.23644061	-0.23644061	0.020907475	0.913312693	-0.661190506	0.108556131	0.530864198	0.015514101	-0.888888889	0.148719004	-0.888888889	-0.091749824	0.181790168	0.541795666	-0.117283951	-0.037515245	-0.53869969	-0.586365256	-0.478113917	-0.697530864	0.345331963	0.796296296	-0.219037509	0.679012346	0.646641518	0.147612294	0.242165168	0.646641518	-0.413216448	0.919753086	-0.666666667	0.352651291	0.352651291	0.352651291	-0.582229214	-0.697530864	-0.460888819	0.108556131	-0.888888889	0.152634421	0.326110782	-0.169420338	-0.295760055	0.561728395	0.028021535	0.004807692	0.1183954	0.018518519	-0.759259259	0.005154639	-0.299044744	-0.367693563	0.125106424	0.154854453	-0.254628905	0.149111799	0.071707229	0.12483013	-0.009707049	0.482207707	0.057397315	-0.481481481	0.722222222	0.333269249	0.193659118	-0.254628905	-0.481481481	0.722222222	-0.666666667	0.37037037
C22	COVID_19	0.21060006	0.395214866	-0.269349845	0.619195046	0.619195046	0.298082629	0.298082629	-0.246997139	0.643962848	-0.312489062	0.152999923	-0.043209877	0.153683386	-0.234567901	0.387887475	-0.234567901	-0.269349845	0.661791224	0.934595026	-0.197530864	0.030632076	0.594427245	0.449424508	0.499399543	-0.135802469	0.339970333	0.858024691	-0.150648289	-0.166666667	-0.326617524	0.349550282	0.513713237	-0.326617524	0.596273292	0.814814815	0.339506173	0.585139319	0.585139319	0.585139319	0.560313828	-0.135802469	0.633315522	0.152999923	-0.234567901	0.264914155	0.686296791	0.246369342	-0.487646778	0.790123457	0.191646948	0.197142253	0.298765134	-0.277777778	-0.37037037	-0.158628696	-0.139769912	-0.106554208	0.16875	0.196973148	-0.859042553	0.025	0.244736017	-0.092961974	0.24875571	0.504029851	0.025157233	0.314814815	-0.765432099	0.540628484	0.033565481	-0.859042553	0.314814815	-0.765432099	0.339506173	-0.228395062
C23	COVID_19	0.165919922	-0.009088355	-0.75485589	0.789473684	0.789473684	-0.620421537	-0.620421537	-0.277377326	0.832817337	-0.484914269	0.267002831	-0.141975309	0.281882467	-0.827160494	-0.513253621	-0.827160494	-0.75485589	0.725550058	-0.046439628	-0.783950617	-0.686104111	0.749009288	-0.194533473	-0.188269843	-0.5	0.286485155	0.364197531	0.181368377	-0.148148148	0.304149386	0.268191703	0.559567987	0.304149386	0.562647248	0.709876543	0.839506173	0.897832817	0.897832817	0.897832817	0.312526138	-0.5	0.729579463	0.267002831	-0.827160494	0.256409533	0.688282181	0.26477794	-0.527484242	0.401234568	0.08976452	0.241319739	0.471252208	0.043209877	-0.895061728	0.004132231	-0.585929387	-0.482696743	0.278563084	0.185108561	-0.761875538	-0.337268519	0.243465866	0.374203419	0.20026759	0.322106517	-0.103260471	-0.00617284	-0.117283951	0.228450834	0.177521581	-0.761875538	-0.00617284	-0.117283951	0.839506173	0.265432099
C24	COVID_19	0.051183638	-0.140913636	-0.553194484	0.540874244	0.540874244	-0.698399994	-0.698399994	0.36376829	0.910216718	-0.574176981	0.541428413	0.37037037	0.633421902	-0.99382716	-0.474085066	-0.99382716	-0.553194484	0.570189952	0.015479876	-0.432098765	-0.065778469	0.23018819	-0.838907783	-0.732213074	-0.962962963	0.182950806	0.62345679	0.013228347	0.413580247	0.431677019	0.064606855	0.130124537	0.431677019	-0.185586317	0.938271605	0.672839506	0.665634675	0.665634675	0.665634675	-0.75408152	-0.962962963	-0.027863777	0.541428413	-0.99382716	-0.037362758	-0.033829879	-0.466839886	-0.616525796	-0.172839506	-0.207072619	-0.257480258	0.261710901	0.030864198	-0.87654321	-0.312865497	-0.551649526	-0.515774915	-0.130322802	0.034064948	-0.475045506	-0.103718873	0.054502746	0.691563467	0.025582667	0.476363636	0.0640792	-0.154320988	0.265432099	0.156806017	0.210705968	-0.475045506	-0.154320988	0.265432099	0.672839506	-0.12345679
C25	COVID_19	-0.344736251	-0.128389623	0.080495356	0.568261563	0.568261563	0.080996885	0.080996885	-0.573587915	-0.564434985	0.148607597	-0.13552089	-0.092592593	-0.130492768	0.00617284	0.080745342	0.00617284	0.080495356	0.358008349	0.72755418	0.944444444	-0.20123839	0.545589191	0.341169422	0.531213051	-0.327160494	-0.37859841	-0.222222222	-0.153028137	0.432098765	-0.543478261	-0.311146847	-0.104774576	-0.543478261	0.775718018	-0.320987654	-0.228395062	-0.693079384	-0.693079384	-0.693079384	0.383291548	-0.327160494	0.59752322	-0.13552089	0.00617284	-0.037551095	0.466483685	0.054238579	0.219103661	-0.135802469	0.112183415	0.244374411	-0.236274071	0.617283951	-0.271604938	-0.055727554	0.415938588	0.355519637	-0.01875	-0.337804931	0.281733746	-0.281836265	0.18916768	-0.157094506	0.116660914	-0.122708698	-0.052586614	0.401234568	-0.765432099	-0.379767041	-0.428747344	0.281733746	0.401234568	-0.765432099	-0.228395062	0.358024691
C26	COVID_19	0.177884127	-0.173326134	-0.713538991	0.60371517	0.60371517	-0.539079447	-0.539079447	0.30622315	0.873065015	-0.41461715	0.191500998	0.074074074	0.197720742	-0.672839506	-0.580626114	-0.672839506	-0.713538991	0.698250969	-0.222350306	-0.419753086	-0.713622291	0.751815909	-0.114377539	-0.351162062	0.419753086	0.114771978	-0.240740741	0.164547898	0.382716049	0.450029543	0.044762221	0.480442424	0.450029543	0.689978678	0.660493827	0.858024691	0.730650155	0.730650155	0.730650155	0.378003514	0.419753086	0.334881321	0.191500998	-0.672839506	-0.153670083	0.45925	-0.779728789	-0.459682506	-0.314814815	-0.266711465	-0.892108949	0.035355052	-0.530864198	-0.99382716	-0.960177075	-0.629880142	-0.339168893	-0.310970232	0.038091369	-0.043343653	-0.158118165	0.142375177	0.494746789	0.141336454	0.315462201	0.185687589	-3.33E-15	-0.172839506	-0.069017357	0.168400727	-0.043343653	-3.33E-15	-0.172839506	0.858024691	-0.567901235
C27	COVID_19	0.173474867	0.167588326	-0.061919505	0.789473684	0.789473684	0.030224059	0.030224059	-0.118562462	0.018575851	-0.553898348	0.213046085	-0.209876543	0.230211916	-0.685185185	0.305879182	-0.685185185	-0.061919505	0.717391304	0.557275542	-0.098765432	-0.566563467	0.746130031	0.571304009	0.708189556	-0.358024691	0.160662935	-0.339506173	0.017164858	0.320987654	0.365162513	0.113429251	0.413413936	0.365162513	0.757763975	0.604938272	0.666666667	0.808049536	0.808049536	0.808049536	0.660365675	-0.358024691	0.835913313	0.213046085	-0.685185185	0.054721292	0.81875	-0.130405654	-0.322642099	0.796296296	-0.19471618	-0.18782987	-0.668400339	0.339506173	-0.444444444	-0.705882353	-0.096012461	0.311157897	-0.305142717	0.004986913	-0.466410428	0.517972815	0.312173304	-0.172594004	0.1994024	0.453727394	0.441898173	0.759259259	0.111111111	0.40914912	-0.126016885	-0.466410428	0.759259259	0.111111111	0.666666667	-0.666666667
C28	COVID_19	0.156610706	0.058436963	-0.383900929	0.353722271	0.353722271	-0.256277663	-0.256277663	0.220076264	0.73374613	-0.523364486	0.323592863	0.62345679	0.203950424	-0.728395062	0.101374849	-0.728395062	-0.383900929	0.644051601	0.19150351	-0.635802469	0.085959752	0.463670666	-0.199376947	-0.204576416	0.043209877	0.369068661	0.648148148	0.315919698	-0.191358025	0.674731834	0.263399392	0.548495393	0.674731834	0.300029323	0.808641975	0.543209877	0.690402477	0.690402477	0.690402477	0.099378882	0.043209877	0.139318885	0.323592863	-0.728395062	0.047521709	0.554848455	-0.373930552	-0.598746082	0.654320988	-0.246362288	-0.430086269	0.034925329	-0.339506173	-0.574074074	-0.730736154	-0.171520084	-0.292212228	0.14375	0.232540345	-0.411764706	-0.162379174	0.299234549	0.086452298	0.202813088	0.503374229	-0.1640241	0.154320988	0.956790123	0.381903698	0.258430848	-0.411764706	0.154320988	0.956790123	0.543209877	-0.87037037
C29	COVID_19	0.129852251	-0.142820229	0.089783282	0.53250774	0.53250774	0.009941203	0.009941203	0.187872861	0.229102167	-0.299241366	0.526409298	0.339506173	0.545206723	-0.808641975	0.629049212	-0.808641975	0.089783282	0.322981366	-0.314343551	-0.512345679	-0.052631579	0.3374613	0.196625804	0.300864633	0.179012346	0.479160025	-0.172839506	0.105422605	0.135802469	0.049986559	0.337923159	0.431651151	0.049986559	0.338509317	0.12345679	0.518518519	0.72755418	0.72755418	0.72755418	0.363354037	0.179012346	0.498452012	0.526409298	-0.808641975	0.21310427	0.402053687	0.270142578	-0.301472558	0.814814815	0.10956058	0.383503986	0.204371719	-0.154320988	0.043209877	0.405572755	-0.289862226	-0.567997403	0.1125	0.187992118	-0.058823529	0.245950506	-0.08514482	-0.321467742	-0.150268801	0.189283807	0.01160133	0.450617284	-0.407407407	0.288311531	0.316013162	-0.058823529	0.450617284	-0.407407407	0.518518519	-0.932098765
C3	COVID_19	0.019541467	0.069784156	-0.37672545	-0.365325077	-0.365325077	-0.420052824	-0.420052824	0.347869363	0.160990712	0.307048287	0.43878022	0.654320988	0.396110893	-0.783950617	-0.15010352	-0.783950617	-0.37672545	-0.02484472	-0.102167183	0.62345679	-0.074303406	-0.275541796	-0.433054452	-0.627329193	0.395061728	0.38218393	0.259259259	-0.363781574	-0.728395062	0.686335404	-0.278709145	-0.030735394	0.686335404	-0.375776398	0.25308642	-0.302469136	-0.102167183	-0.102167183	-0.102167183	-0.01552795	0.395061728	-0.362229102	0.43878022	-0.783950617	-0.022648063	-0.105388839	0.133248372	-0.070915208	0.37037037	0.078017698	-0.121495327	0.233861366	-0.419753086	0.388888889	0.142414861	-0.073425061	-0.148022737	0.424522353	0.081576952	-0.549232501	-0.244685266	-0.273960645	0.486365801	-0.182118809	0.013781858	-0.077414043	-0.296296296	0.759259259	-0.393809041	0.14908251	-0.549232501	-0.296296296	0.759259259	-0.302469136	-0.364197531
C30	COVID_19	0.181377762	-0.098312236	0.573254496	0.095975232	0.095975232	0.365240268	0.365240268	-0.037786866	0.73374613	-0.080129061	-0.005525962	-0.598765432	0.126165586	0.25308642	0.469945195	0.25308642	0.573254496	0.207800145	0.442724458	-0.592592593	-0.452012384	0.052631579	0.305865085	0.423917321	-0.166666667	0.011730362	-0.271604938	0.099781147	0.833333333	-0.450310559	0.383554439	0.259900856	-0.450310559	0.442118068	0.462962963	-0.098765432	0.216548365	0.216548365	0.216548365	0.062111801	-0.166666667	0.191950464	-0.005525962	0.25308642	0.020507043	-0.059016451	-0.521218509	0.251353369	-0.185185185	-0.196966466	-0.506140301	-0.384230506	0.567901235	-0.296296296	-0.656346749	0.325508335	-0.139242033	0.556276652	0.164057736	0.222045924	0.553504267	0.379517972	-0.279388775	0.251610008	0.080008693	0.389972869	0.092592593	-0.740740741	0.413027378	0.037770303	0.222045924	0.092592593	-0.740740741	-0.098765432	-0.24691358
C31	COVID_19	-0.167971004	-0.011003861	-0.346749226	0.660471834	0.660471834	-0.445482866	-0.445482866	-0.342605829	-0.111455108	-0.031152648	-0.011271025	-0.833333333	0.23111927	-0.333333333	-0.444099379	-0.333333333	-0.346749226	0.608712127	0.176470588	0.537037037	-0.754292916	0.653102932	0.638021636	0.786263228	0.358024691	-0.408288534	-0.203703704	-0.11116976	-0.222222222	0.011023446	-0.142348318	0.08832314	0.011023446	0.467655113	0.061728395	-0.234567901	0.105263158	0.105263158	0.105263158	0.694147403	0.358024691	0.866873065	-0.011271025	-0.333333333	-0.114165884	0.492157887	0.140468773	-0.031347962	-0.660493827	-0.168399193	-0.146417445	-0.460201528	-0.141975309	-0.469135802	-0.278625485	-0.482273316	-0.075203077	0.578600945	-0.115181449	-0.495528036	0.339028777	-0.00090212	-0.871936275	-0.001066098	0.265679187	0.001218978	0.858024691	-0.950617284	-0.029985064	-0.198826956	-0.495528036	0.858024691	-0.950617284	-0.234567901	-0.759259259
C32	COVID_19	-0.01859391	0.108386958	0.401374613	0.544891641	0.544891641	-0.026405929	-0.026405929	-0.404445259	0.066364564	-0.485981308	0.489482487	-0.308641975	0.604752208	-0.444444444	0.046699037	-0.444444444	0.401374613	0.352064186	0.582595423	1	0.598265155	0.25463355	0.015576324	0.01552795	0.061728395	0.120755331	0.814814815	0.462457411	0.944444444	-0.055900621	0.155657967	0.175619472	-0.055900621	0.226798914	0.524691358	0.790123457	0.189953493	0.189953493	0.189953493	0.130434783	0.061728395	0.192265795	0.489482487	-0.444444444	-0.190586429	0.274027318	0.020973701	0.080181122	-0.62345679	-0.381429469	0.563795205	-0.677780244	-0.345679012	-0.598765432	-0.034055728	-0.635514019	-0.469575762	0.075	0.02571295	0.68581834	0.733954262	0.181133605	0.248089929	0.100324579	-0.097618	0.472926531	-0.037037037	0.037037037	0.097303046	0.125755551	0.68581834	-0.037037037	0.037037037	0.790123457	0.160493827
C33	COVID_19	-0.204569524	-0.299125639	-0.46749226	-0.003095975	-0.003095975	-0.554517134	-0.554517134	0.18658809	-0.913312693	0.400376428	-0.271170152	-0.586419753	-0.198134313	-0.234567901	-0.618012422	-0.234567901	-0.46749226	-0.207151251	-0.558235972	0.209876543	-0.32684109	-0.159873608	0.718038143	0.76014213	-0.135802469	-0.346721363	-0.895061728	-0.193615023	-0.567901235	0.666555184	-0.321265555	-0.393251447	0.666555184	-0.147917936	-0.604938272	-0.975308642	-0.987616099	-0.987616099	-0.987616099	0.894965675	-0.135802469	0.959752322	-0.271170152	-0.234567901	-0.173798201	0.276558385	-0.321322388	0.326018809	-0.864197531	0.131221082	0.272866044	-0.448939228	-0.265432099	-0.364197531	0.486068111	-0.23364486	0.330986422	0.676451297	-0.046990014	0.293322734	-0.261727457	-0.339042498	0.239755453	-0.395967684	-0.184197887	-0.189013552	0.944444444	0.481481481	-0.36243814	0.025330937	0.293322734	0.944444444	0.481481481	-0.975308642	-0.858024691
